product_name,product_id,spicy_level,product_category,sales_unit_quantity,target_ending_inventory,sales_price,cost_percentage,content_weight_gram,product_catchphrase,product_image
りんご＆ハチミツカレー,RHC,甘口,スタンダート,10000,500000,270,90,200,これぞ日本の心,https://assets.st-note.com/img/1757988532-L85jwvy6YZncWKkRpJdXC7Bm.jpg
だからこそカレー辛口,DKS,辛口,スタンダート,10000,500000,340,85,180,辛口だからこそ、おいしい。,https://assets.st-note.com/img/1757989044-TbkCf9AUdclI61hSPO0XrL78.jpg
だからこそカレー甘口,DKA,甘口,スタンダート,10000,300000,250,80,180,甘口だからこそ、おいしい。,https://assets.st-note.com/img/1757989226-BlKjrbpDIhxX9MPqeO3skNoY.jpg
とろ旨黒毛和牛の誘惑,TKY,中辛,肉,10000,300000,300,75,220,とろける旨み、抗えぬ誘惑、一口でもう戻れない,https://assets.st-note.com/img/1757993026-HxvsIGuqlScbUntJEkdwKWjL.jpg
牛すじ煮込みカレー,GSN,中辛,肉,10000,300000,255,85,200,赤ワインとフォンドボーの究極,https://assets.st-note.com/img/1757993037-FweKmkfOslTW3rIZviJMYy8D.jpg
ロイヤルマサラカレー,RMC,辛口,エスニック,10000,300000,360,75,180,貴族ご用達,https://assets.st-note.com/img/1757993088-vXe0P4ZaLlznKJkdwb3c1xAO.jpg
丹波松茸カレー,TMK,中辛,野菜,10000,300000,1200,80,180,丹波の山から、贅を一皿に。,https://assets.st-note.com/img/1757993123-4LjFosNOy39bzmdBeAnw5KCp.jpg
月夜のラムと赤ワインカレー,LWC,中辛,肉,10000,300000,480,75,200,月夜にとろける、大人のごちそう。,https://assets.st-note.com/img/1757993082-sPOkdxFjYwcTDrhAE3fVqGSy.jpg
デタドンカレー,DON,甘口,お子様,10000,200000,320,80,160,ついに登場だドン！,https://assets.st-note.com/img/1757993094-NxaGmXv06yF2LuIS4wYk9JHC.jpg
深夜のとろけるバターチキン,SBC,甘口,肉,10000,300000,240,80,200,カロリーなど・・・キニスルナ！,https://assets.st-note.com/img/1757993058-iIThDpj1dosBcFye3W5fnEQO.jpg
コクメロカレー,KMC,甘口,野菜,10000,200000,340,85,200,毎日いつもありがとう！,https://assets.st-note.com/img/1757993071-4H0Bf9KqGA57pCTekM6EDOnV.jpg
ベジタリアンカレー,VGC,甘口,野菜,10000,200000,400,80,180,野菜不足なあなたにも！！,https://assets.st-note.com/img/1757993101-Z2ewO4mTlPcrYhNKz18gWnGC.jpg
富山湾　海の宝石箱カレー,TUH,中辛,海鮮,10000,200000,540,70,200,富山湾から届いた、食べる宝石。,https://assets.st-note.com/img/1757993129-tnFbwp6UoCBuZIk0MOTcdmhX.jpg
ニクまみれカレー,NMC,中辛,肉,10000,200000,510,85,200,肉、肉、カレーはうまいに決まってる！！,https://assets.st-note.com/img/1757993047-QX8SzCUDA3i9PK6bBNqydJf2.jpg
恋する南国ココナッツカレー,NCC,甘口,エスニック,10000,200000,425,85,200,ココナッツに溺れる、真夏のラブストーリー,https://assets.st-note.com/img/1757993113-bWEaHPd2qR3j8VNYJUrKIoXQ.jpg
うまうまカレー,UMC,中辛,スタンダート,10000,50000,475,95,200,カレー×ダッシュボード総選挙１位,https://assets.st-note.com/img/1757993107-uxOWXVNrl2tYGIah7HjnLFER.jpg
スノーフレークカレー,SFC,中辛,その他,1000,50000,380,60,180,ひと匙で、冬が溶けだす,https://assets.st-note.com/img/1757993143-eVbOoUyTBjWsXEQzr74vSYuw.jpg
ヒートマップカレー,HMC,辛口,海鮮,1000,50000,320,80,200,データも味もスパイシー！？,https://assets.st-note.com/img/1757993159-SowRu529i8NvHUqEpk6hODsC.jpg
ドリルダウンカレー,DDW,中辛,その他,1000,50000,400,80,180,深堀りしたくなる味わい！？,https://assets.st-note.com/img/1757993166-XTLZrSn8bahdE9fAOsMUmzNI.jpg
たぶわんカレー,TBW,甘口,お子様,1000,50000,680,85,180,みんなだいすき！,https://assets.st-note.com/img/1757993135-EydDmA5Ijo68LhZR4TWXaSGq.jpg
