plant_name,product_id,product_name,date,production_quantity_plan,production_quantity_result,shipped_quantity
岡山工場,DKA,だからこそカレー甘口,2023/1/1,75000,74995,100000
岡山工場,DKA,だからこそカレー甘口,2023/2/1,75000,75000,40000
岡山工場,DKA,だからこそカレー甘口,2023/3/1,75000,74999,40000
岡山工場,DKA,だからこそカレー甘口,2023/4/1,100000,99912,70000
岡山工場,DKA,だからこそカレー甘口,2023/5/1,100000,99952,30000
岡山工場,DKA,だからこそカレー甘口,2023/6/1,100000,100000,70000
岡山工場,DKA,だからこそカレー甘口,2023/7/1,75000,75000,30000
岡山工場,DKA,だからこそカレー甘口,2023/8/1,75000,74997,80000
岡山工場,DKA,だからこそカレー甘口,2023/9/1,75000,74997,120000
岡山工場,DKA,だからこそカレー甘口,2023/10/1,75000,74998,70000
岡山工場,DKA,だからこそカレー甘口,2023/11/1,75000,74995,180000
岡山工場,DKA,だからこそカレー甘口,2023/12/1,75000,74998,60000
岡山工場,DKA,だからこそカレー甘口,2024/1/1,65000,64996,50000
岡山工場,DKA,だからこそカレー甘口,2024/2/1,65000,64997,70000
岡山工場,DKA,だからこそカレー甘口,2024/3/1,65000,64996,50000
岡山工場,DKA,だからこそカレー甘口,2024/4/1,100000,99886,50000
岡山工場,DKA,だからこそカレー甘口,2024/5/1,100000,99927,60000
岡山工場,DKA,だからこそカレー甘口,2024/6/1,100000,99998,20000
岡山工場,DKA,だからこそカレー甘口,2024/7/1,65000,64997,30000
岡山工場,DKA,だからこそカレー甘口,2024/8/1,65000,64997,50000
岡山工場,DKA,だからこそカレー甘口,2024/9/1,65000,64997,50000
岡山工場,DKA,だからこそカレー甘口,2024/10/1,65000,64995,50000
岡山工場,DKA,だからこそカレー甘口,2024/11/1,65000,64999,40000
岡山工場,DKA,だからこそカレー甘口,2024/12/1,65000,64999,30000
岡山工場,DKA,だからこそカレー甘口,2025/1/1,40000,39996,50000
岡山工場,DKA,だからこそカレー甘口,2025/2/1,40000,39998,50000
岡山工場,DKA,だからこそカレー甘口,2025/3/1,40000,39996,50000
岡山工場,DKA,だからこそカレー甘口,2025/4/1,50000,49827,60000
岡山工場,DKA,だからこそカレー甘口,2025/5/1,50000,49909,70000
岡山工場,DKA,だからこそカレー甘口,2025/6/1,50000,50000,40000
岡山工場,DKA,だからこそカレー甘口,2025/7/1,40000,39995,20000
岡山工場,DKA,だからこそカレー甘口,2025/8/1,40000,39999,10000
岡山工場,DKA,だからこそカレー甘口,2025/9/1,40000,39999,20000
岡山工場,DKA,だからこそカレー甘口,2025/10/1,40000,40000,30000
岡山工場,DKA,だからこそカレー甘口,2025/11/1,40000,39999,40000
岡山工場,DKA,だからこそカレー甘口,2025/12/1,40000,39996,50000
岡山工場,DKS,だからこそカレー辛口,2023/1/1,100000,99996,80000
岡山工場,DKS,だからこそカレー辛口,2023/2/1,100000,99995,150000
岡山工場,DKS,だからこそカレー辛口,2023/3/1,100000,99996,110000
