測定日時,ロットid,工程,工程詳細,ジャケット温度,内容物温度,ジャケット圧,外気温,湿度
2025/1/6 6:00,KMC2025010601A200,材料仕込み,仕込み開始,5.2,,-0.007,5,39.7
2025/1/6 6:01,KMC2025010601A200,材料仕込み,水投入,4.8,,0.004,5.2,39.5
2025/1/6 6:02,KMC2025010601A200,材料仕込み,水投入,4.8,6.7,0,5.2,39.1
2025/1/6 6:03,KMC2025010601A200,材料仕込み,冷凍肉投入,5.6,7,0,5.4,39.5
2025/1/6 6:04,KMC2025010601A200,材料仕込み,冷凍肉投入,5.4,6.9,0,5.3,39.1
2025/1/6 6:05,KMC2025010601A200,材料仕込み,冷凍肉投入,5.2,6.7,0,5.4,40.2
2025/1/6 6:06,KMC2025010601A200,材料仕込み,冷凍野菜投入,4.6,6.7,0,4.8,39.1
2025/1/6 6:07,KMC2025010601A200,材料仕込み,冷凍野菜投入,4.9,6.7,0,5,40.6
2025/1/6 6:08,KMC2025010601A200,材料仕込み,冷凍野菜投入,4.2,6.7,0,4.3,39.5
2025/1/6 6:09,KMC2025010601A200,材料仕込み,香辛料投入,5.7,6.7,0,5.6,40.8
2025/1/6 6:10,KMC2025010601A200,材料仕込み,香辛料投入,4.2,6.7,0,4.3,40.8
2025/1/6 6:11,KMC2025010601A200,材料仕込み,小麦粉投入,4.8,6.9,0,4.6,40.6
2025/1/6 6:12,KMC2025010601A200,材料仕込み,小麦粉投入,6,6.9,0,5.7,40.9
2025/1/6 6:13,KMC2025010601A200,材料仕込み,調味料投入,4.9,7.1,0,4.8,40.9
2025/1/6 6:14,KMC2025010601A200,材料仕込み,調味料投入,4.8,6.9,0,5.1,40.3
2025/1/6 6:15,KMC2025010601A200,材料仕込み,撹拌,4.1,7,0,4.1,39.9
2025/1/6 6:16,KMC2025010601A200,材料仕込み,撹拌,5,7,0,4.8,40
2025/1/6 6:17,KMC2025010601A200,材料仕込み,撹拌,4.7,7.4,0,4.6,40.1
2025/1/6 6:18,KMC2025010601A200,材料仕込み,撹拌,5.9,7,0,6.4,39.5
2025/1/6 6:19,KMC2025010601A200,材料仕込み,撹拌,4.2,7.2,0,4.7,40.7
2025/1/6 6:20,KMC2025010601A200,昇温,,12.2,6.8,0,5,39.4
2025/1/6 6:21,KMC2025010601A200,昇温,,14.4,6.7,0.073,5.1,40.7
2025/1/6 6:22,KMC2025010601A200,昇温,,16.5,6.7,0.132,5.3,40.9
2025/1/6 6:23,KMC2025010601A200,昇温,,18.6,9.6,0.18,5.2,39.4
2025/1/6 6:24,KMC2025010601A200,昇温,,39.1,12.4,0.22,5.1,39.6
2025/1/6 6:25,KMC2025010601A200,昇温,,55.5,15.2,0.253,4.7,39.2
2025/1/6 6:26,KMC2025010601A200,昇温,,68.7,17.8,0.28,5.1,40.2
2025/1/6 6:27,KMC2025010601A200,昇温,,79.1,20.3,0.301,4.3,40.3
2025/1/6 6:28,KMC2025010601A200,昇温,,87.5,22.8,0.319,4.7,40.8
2025/1/6 6:29,KMC2025010601A200,昇温,,94.3,25.4,0.334,5.2,39.4
2025/1/6 6:30,KMC2025010601A200,昇温,,99.7,28.1,0.346,5.4,40.8
2025/1/6 6:31,KMC2025010601A200,昇温,,104,30.9,0.356,5.6,40.2
2025/1/6 6:32,KMC2025010601A200,昇温,,107.4,33.7,0.364,4.8,39.7
2025/1/6 6:33,KMC2025010601A200,昇温,,110.2,36.6,0.37,4.8,40.1
2025/1/6 6:34,KMC2025010601A200,昇温,,112.3,39.3,0.376,4.1,39.9
2025/1/6 6:35,KMC2025010601A200,昇温,,114.1,41.7,0.38,4.8,40.9
2025/1/6 6:36,KMC2025010601A200,昇温,,115.5,44.2,0.38,5.6,40
2025/1/6 6:37,KMC2025010601A200,昇温,,116.6,47.1,0.38,4.1,40.9
2025/1/6 6:38,KMC2025010601A200,昇温,,117.5,49.8,0.38,4.2,39.1
2025/1/6 6:39,KMC2025010601A200,昇温,,118.2,52.3,0.38,5,39.5
2025/1/6 6:40,KMC2025010601A200,昇温,,118.8,55.5,0.38,4.8,39.2
2025/1/6 6:41,KMC2025010601A200,昇温,,119.3,58.3,0.38,6.5,40
2025/1/6 6:42,KMC2025010601A200,昇温,,119.7,60.9,0.38,4.6,40.6
2025/1/6 6:43,KMC2025010601A200,昇温,,120,63.6,0.38,4.5,39.5
2025/1/6 6:44,KMC2025010601A200,昇温,,120.1,66.4,0.38,3.9,40.6
2025/1/6 6:45,KMC2025010601A200,昇温,,120.4,68.7,0.38,5.1,40.4
2025/1/6 6:46,KMC2025010601A200,昇温,,120.5,71.3,0.38,4.9,40.4
2025/1/6 6:47,KMC2025010601A200,昇温,,120.7,73.7,0.38,6.8,40.6
2025/1/6 6:48,KMC2025010601A200,昇温,,120.8,76.6,0.38,4.7,40
2025/1/6 6:49,KMC2025010601A200,昇温,,121,79.6,0.38,7.1,40.5
2025/1/6 6:50,KMC2025010601A200,煮込み,工程切替,121.2,82.6,0.196,5,39.5
2025/1/6 6:51,KMC2025010601A200,煮込み,工程切替,120.9,85.2,0.007,6,40.9
2025/1/6 6:52,KMC2025010601A200,煮込み,放熱OFF,81.5,85.2,0.011,5,39.6
2025/1/6 6:53,KMC2025010601A200,煮込み,放熱OFF,82,85.3,0.015,5.2,40.8
2025/1/6 6:54,KMC2025010601A200,煮込み,放熱OFF,82.3,85,0.009,5.4,40.8
2025/1/6 6:55,KMC2025010601A200,煮込み,放熱OFF,81.6,85.1,0.015,5.2,40.5
2025/1/6 6:56,KMC2025010601A200,煮込み,放熱OFF,81.5,85.3,0.006,5,41
2025/1/6 6:57,KMC2025010601A200,煮込み,放熱OFF,83,85.3,0,5,40.2
2025/1/6 6:58,KMC2025010601A200,煮込み,放熱OFF,81,85.4,-0.003,4.7,40.1
2025/1/6 6:59,KMC2025010601A200,煮込み,加熱ON,93.3,85.1,0.079,4.8,39.4
2025/1/6 7:00,KMC2025010601A200,煮込み,放熱OFF,81.4,84.6,0.045,5.1,40.7
2025/1/6 7:01,KMC2025010601A200,煮込み,加熱ON,93.7,84.8,0.117,5.1,41
2025/1/6 7:02,KMC2025010601A200,煮込み,放熱OFF,82.4,84.6,0.07,5.3,40.6
2025/1/6 7:03,KMC2025010601A200,煮込み,放熱OFF,82.3,85,0.043,5,40.9
2025/1/6 7:04,KMC2025010601A200,煮込み,放熱OFF,81.9,84.9,0.017,5.3,40
